data,label
"['\n\t\t Optimization in Multimodal Interpretation Joyce Y. Chai* Pengyu Hong+ Michelle X. Zhou\x87 Zahar Prasov* *Computer Science and Engineering Michigan State University East Lansing , MI 48824 { jchai@cse.msu.edu , prasovz@cse.msu.edu } Abstract In a multimodal conversation , the way users communicate with a system depends on the available interaction channels and the situated context ( e.g. , conversation focus , visual feedback ) . \n\t', '\n\t\t These dependencies form a rich set of constraints from various perspectives such as temporal alignments between different modalities , coherence of conversation , and the domain semantics . \n\t', '\n\t\t There is strong evidence that competition and ranking of these constraints is important to achieve an optimal interpretation . \n\t', '\n\t\t Thus , we have developed an optimization approach for multimodal interpretation , particularly for interpreting multimodal references . \n\t', '\n\t\t A preliminary evaluation indicates the effectiveness of this approach , especially for complex user inputs that involve multiple referring expressions in a speech utterance and multiple gestures . \n\t', '\n\t\t 1 Introduction Multimodal systems provide a natural and effective way for users to interact with computers through multiple modalities such as speech , gesture , and gaze \n\t\t']",Positive
['\n\t\t Since the first appearance of \x93Put-That-There\x94 system \n\t\t'],Positive
"['\n\t\t One important aspect of building multimodal systems is multimodal interpretation , which is a process that identifies the meanings of user inputs . \n\t', '\n\t\t \x87Intelligent Multimedia Interaction IBM T. J. Watson Research Ctr. Hawthorne , NY 10532 mzhou@us.ibm.com In a multimodal conversation , the way users communicate with a system depends on the available interaction channels and the situated context ( e.g. , conversation focus , visual feedback ) . \n\t', '\n\t\t These dependencies form a rich set of constraints from various aspects ( e.g. , semantic , temporal , and contextual ) . \n\t', '\n\t\t A correct interpretation can only be attained by simultaneously considering these constraints . \n\t', '\n\t\t In this process , two issues are important : first , a mechanism to combine information from various sources to form an overall interpretation given a set of constraints ; and second , a mechanism that achieves the best interpretation among all the possible alternatives given a set of constraints . \n\t', '\n\t\t The first issue focuses on the fusion aspect , which has been well studied in earlier work , for example , through unification- based approaches \n\t\t']",Positive
"['\n\t\t This paper focuses on the second issue of optimization . \n\t', '\n\t\t As in natural language interpretation , there is strong evidence that competition and ranking of constraints is important to achieve an optimal interpretation for multimodal language processing . \n\t', '\n\t\t We have developed a graph-based optimization approach for interpreting multimodal references . \n\t', '\n\t\t This approach achieves an optimal interpretation by simultaneously applying semantic , temporal , and contextual constraints . \n\t', '\n\t\t A preliminary evaluation indicates the effectiveness of this approach , particularly for complex user inputs that involve multiple referring expressions in a speech utterance and multiple gestures . \n\t', '\n\t\t In this paper , we first describe the necessities for optimization in multimodal interpretation , then present our graph- based optimization approach and discuss how our approach addresses key principles in Optimality Theory used for natural language interpretation \n\t\t']",Positive
"['\n\t\t +Department of Statistics Harvard University Cambridge , MA 02138 hong@stat.harvard.edu 2 Necessities for Optimization in Multimodal Interpretation In a multimodal conversation , the way a user interacts with a system is dependent not only on the available input channels ( e.g. , speech and gesture ) , but also upon his/her conversation goals , the state of the conversation , and the multimedia feedback from the system . \n\t', '\n\t\t In other words , there is a rich context that involves dependencies from many different aspects established during the interaction . \n\t', '\n\t\t Interpreting user inputs can only be situated in this rich context . \n\t', '\n\t\t For example , the temporal relations between speech and gesture are important criteria that determine how the information from these two modalities can be combined . \n\t', '\n\t\t The focus of attention from the prior conversation shapes how users refer to those objects , and thus , influences the interpretation of referring expressions . \n\t', '\n\t\t Therefore , we need to simultaneously consider the temporal relations between the referring expressions and the gestures , the semantic constraints specified by the referring expressions , and the contextual constraints from the prior conversation . \n\t', '\n\t\t It is important to have a mechanism that supports competition and ranking among these constraints to achieve an optimal interpretation , in particular , a mechanism to allow constraint violation and support soft constraints . \n\t', '\n\t\t We use temporal constraints as an example to illustrate this viewpoint1 . \n\t', '\n\t\t The temporal constraints specify whether multiple modalities can be combined based on their temporal alignment . \n\t', '\n\t\t In earlier work , the temporal constraints are empirically determined based on user studies \n\t\t']",Negative
"['\n\t\t For example , in the unification- based approach \n\t\t']",Negative
"['\n\t\t This is a hard constraint that has to be satisfied in order for the unification to take place . \n\t', '\n\t\t If a given input does not satisfy these hard constraints , the unification fails . \n\t', '\n\t\t In our user studies , we found that , although the majority of user temporal alignment behavior may satisfy pre-defined temporal constraints , there are 1 We implemented a system using real estate as an application domain . \n\t', '\n\t\t The user can interact with a map using both speech and gestures to retrieve information . \n\t', '\n\t\t All the user studies mentioned in this paper were conducted using this system . \n\t', '\n\t\t Speech First Gesture First Total Non-overlap 7 % 45 % 52 % Overlap 8 % 40 % 48 % Total 15 % 85 % 100 % Table 1 : Overall temporal relations between speech and gesture Figure 1 : Temporal relations between speech and gesture for individual users some exceptions . \n\t', '\n\t\t Table 1 shows the percentage of different temporal relations collected from our user studies . \n\t', '\n\t\t The rows indicate whether there is an overlap between speech referring expressions and their accompanied gestures . \n\t', '\n\t\t The columns indicate whether the speech ( more precisely , the referring expressions ) or the gesture occurred first . \n\t', '\n\t\t Consistent with the previous findings \n\t\t']",Positive
"['\n\t\t However , in 15 % of the cases the speech referring expressions were uttered before the gesture occurred . \n\t', '\n\t\t Among those cases , 8 % had an overlap between the referring expressions and the gesture and 7 % had no overlap . \n\t', '\n\t\t Furthermore , as shown in \n\t\t']",Positive
"['\n\t\t Figure 1 shows the temporal alignments from seven individual users in our study . \n\t', '\n\t\t User 2 and User 6 maintained a consistent behavior in that User 2\x92s speech referring expressions always overlapped with gestures and User 6\x92s gesture always occurred ahead of the speech expressions . \n\t', '\n\t\t The other five users exhibited varied temporal alignment between speech and gesture during the interaction . \n\t', '\n\t\t It will be difficult for a system using pre-defined temporal constraints to anticipate and accommodate all these different behaviors . \n\t', '\n\t\t Therefore , it is desirable to have a mechanism that Non-overlap Speech First Non-overlap Gesture First Overlap Speech First Overlap Gesture First 1 0.8 0.6 0.4 0.2 0 User 1 2 3 4 5 6 7 allows violation of these constraints and support soft or graded constraints . \n\t', '\n\t\t 3 A Graph-based Optimization Approach To address the necessities described above , we developed an optimization approach for interpreting multimodal references using graph matching . \n\t', '\n\t\t The graph representation captures both salient entities and their inter-relations . \n\t', '\n\t\t The graph matching is an optimization process that finds the best matching between two graphs based on constraints modeled as links or nodes in these graphs . \n\t', '\n\t\t This type of structure and process is especially useful for interpreting multimodal references . \n\t', '\n\t\t One graph can represent all the referring expressions and their inter-relations , and the other graph can represent all the potential referents . \n\t', '\n\t\t The question is how to match them together to achieve a maximum compatibility given a particular context . \n\t', '\n\t\t 3.1 Overview Graph-based Representation Attribute Relation Graph ( ARG ) \n\t\t']",Positive
"['\n\t\t An ARG consists of a set of nodes that are connected by a set of edges . \n\t', '\n\t\t Each node represents an entity , which in our case is either a referring expression to be resolved or a potential referent . \n\t', '\n\t\t Each node encodes the properties of the corresponding entity including : \x95 Semantic information that indicates the semantic type , the number of potential referents , and the specific attributes related to the Speech : Compare this house , the green house and the brown one Figure 2 : An example of a referring graph corresponding entity ( e.g. , extracted from the referring expressions ) . \n\t', '\n\t\t \x95 Temporal information that indicates the time when the corresponding entity is introduced into the discourse ( e.g. , uttered or gestured ) . \n\t', '\n\t\t Each edge represents a set of relations between two entities . \n\t', '\n\t\t Currently we capture temporal relations and semantic type relations . \n\t', '\n\t\t A temporal relation indicates the temporal order between two related entities during an interaction , which may have one of the following values : \x95 Precede : Node A precedes Node B if the entity represented by Node A is introduced into the discourse before the entity represented by Node B. \x95 Concurrent : Node A is concurrent with Node B if the entities represented by them are referred to or mentioned simultaneously . \n\t', '\n\t\t \x95 Non-concurrent : Node A is non-concurrent with Node B if their corresponding objects/references cannot be referred/mentioned simultaneously . \n\t', '\n\t\t \x95 Unknown : The temporal order between two entities is unknown . \n\t', '\n\t\t It may take the value of any of the above . \n\t', '\n\t\t A semantic type relation indicates whether two related entities share the same semantic type . \n\t', '\n\t\t It currently takes the following discrete values : Same , Different , and Unknown . \n\t', '\n\t\t It could be beneficial in the future to consider a continuous function measuring the rate of compatibility instead . \n\t', '\n\t\t Specially , two graphs are generated . \n\t', '\n\t\t One graph , called the referring graph , captures referring expressions from speech utterances . \n\t', '\n\t\t For example , suppose a user says Compare this house , the green house , and the brown one . \n\t', '\n\t\t Figure 2 show a referring graph that represents three referring expressions from this speech input . \n\t', '\n\t\t Each node captures the semantic information such as the semantic type ( i.e. , Semantic Type ) , the attribute ( Color ) , the number ( Number ) of the potential referents , as well as the temporal information about when this referring expression is uttered ( BeginTime and EndTime ) . \n\t', '\n\t\t Each edge captures the semantic ( e.g. , SemanticTypeRelation ) and temporal relations ( e.g. , TemporalRelation ) between the referring expressions . \n\t', '\n\t\t In this case , since the green house is uttered before the brown one , there is a temporal Precede relationship between these two expressions . \n\t', '\n\t\t Furthermore , according to our heuristic that objects-to-be-compared should share the same semantic type , therefore , the SemanticTypeRelation between two nodes is set to Same . \n\t', '\n\t\t SemanticType : House Number. : 1 Attribute : Color = $ Green BeginTime : 32244242ms EndTime : ... \n\t', '\n\t\t SemanticTypeRelation : Same TemporalRelation : Precede Direction : Node 2 -> Node 3 ... ... Node 2 the green house Node 1 this house Node 3 the brown one Gesture : Point to one position and point to another position Chappaqua First pointing Second pointing Conversation Context Semantic Type Relation : Diff Temporal relation : Same Direction : Ossining Object ID : MLS2365478 SemanticType : House Attribute : Color = $ Brown BeginTime : 32244292 ms SelectionProb : 0.65 ... ... Graph-matching Process Given these graph representations , interpreting multimodal references becomes a graph-matching problem . \n\t', '\n\t\t The goal is to find the best match between a referring graph ( Gs ) and a referent graph ( Gr ) . \n\t', '\n\t\t Suppose \x95 A referring graph Gs = ^{^m} , {^mn}^ , where { ^m } are nodes and { ^mn } are edges connecting nodes ^m and ^n . \n\t', '\n\t\t Nodes in Gs are named referring nodes . \n\t', '\n\t\t \x95 A referent graph Gr = ^{ax} , {rxy}^ , where { ax } are nodes and { rxy } are edges connecting nodes ax and ay . \n\t', '\n\t\t Nodes in Gr are named referent nodes . \n\t', '\n\t\t The following equation finds a match that achieves the maximum compatibility between Gr and Gs : Q(Gr , , Gs ^x ^y ^m ^P(ax n P(a y , ^n )EdgeSim ( rte , Figure 3 : An example of referent graph ) ^x ^P(ax,am)NodeSim(ax,am)+ , ^m ) ( 1 ) In Equation(1) , Q(Gr,Gs) measures the degree of the overall matchbetweenthe referentgraphand the referringgraph . \n\t', '\n\t\t P(ax , ^m ) is the matching probabilitybetween anode ax in the referentgraph and anode ^m in the referringgraph . \n\t', '\n\t\t The overall compatibilitydepends on the similarities between nodes ( NodeSim ) and the similarities between edges ( EdgeSim ) . \n\t', '\n\t\t The function NodeSim(ax,^m) measures the similarity betweenareferentnode ax and areferring node ^m by combiningsemantic constraints andtemporal constraints . \n\t', '\n\t\t The function EdgeSim(rxy,^mn) measures the similarity between rxy and ^mn , whichdepends onthe semantic and temporal constraints ofthe correspondingedges . \n\t', '\n\t\t These functions are described indetail in the next section . \n\t', '\n\t\t We use the graduatedassignmentalgorithm \n\t\t']",Positive
